Entry,t0,t4,t8,t12,t16,t20,t24
DDB_G0267830,0.63,3.81,11.46,12.01,9.17,2.68,2.29
DDB_G0288469,0.3,0.43,5.22,4.08,7.69,4.29,3.35
DDB_G0268982,0.08,0.52,1.38,0.77,2.9,1.83,1.25
DDB_G0284091,11.44,139.65,196.92,139.08,156.24,69.73,41.93
DDB_G0276169,3.54,44.62,60.92,56.84,62.23,62.6,58.38
DDB_G0281307,0.17,0.8,2.8,5.92,4.26,5.34,4.6
DDB_G0277039,0.42,1.64,6.48,11.93,20.53,21.82,11.56
DDB_G0280183,1.07,3.02,16.3,15.44,9.95,12.27,5.53
DDB_G0283129,3.88,27.35,57.2,57.32,69.23,72.57,50
DDB_G0284341,0.2,1.29,2.89,2.62,4.2,1.41,0.54
DDB_G0349377,1.59,17.88,22.84,21.44,16.28,7.65,6.27
DDB_G0267668,3.74,18.01,53.72,34.15,35.55,11.88,6.89
DDB_G0277049,0.23,1.21,3.22,4.03,5.68,5.24,4.08
DDB_G0290011,1.98,8.35,27.97,31.03,40.38,28.47,21.94
DDB_G0271304,0.52,3.5,7.17,5.27,6.82,2.41,1.46
DDB_G0270764,0.55,1.29,7.28,8.09,9.2,1.67,1.55
DDB_G0274661,202.97,959.74,2684.07,2268.65,2136.41,1748.71,769.68
DDB_G0294014,46.27,582.96,587.34,182.24,257.47,146.69,103.19
DDB_G0273031,0.14,7.44,1.8,3.5,3.4,4.17,1.46
DDB_G0279237,0.03,0.17,0.4,0.57,0.61,0.87,0.6
DDB_G0278013,83.83,1410.69,1040.58,1536.66,471.55,1723.73,1431.21
DDB_G0289915,2.16,23.31,26.54,26.99,21.91,12.95,11.87
DDB_G0286379,2.95,5.47,35.72,33.97,20.53,4.36,4.34
DDB_G0287017,0.72,13.03,8.67,14.84,17.6,7.25,9.6
DDB_G0279951,7.88,12.01,93.65,447.08,1011.98,1090.92,439.9
DDB_G0288901,0.06,0.57,0.71,1.26,1.17,0.9,0.82
DDB_G0276631,0.42,1.85,4.69,6.64,11.75,6.6,4.81
DDB_G0279259,0.44,1.02,5,2.48,1.68,1.93,1.38
DDB_G0284969,1.91,13.46,20.71,19.13,16.52,16.76,14.77
DDB_G0288609,0.8,8.63,8.31,5.9,5.75,10.89,7.06
DDB_G0279221,0.56,1.71,5.78,3.78,2.7,1.98,3.43
DDB_G0283987,10.99,83.37,112.52,105.59,77.9,42.34,31.14
DDB_G0284263,1.4,1.57,14.21,16.3,22.09,6.38,3.81
DDB_G0282157,0.2,0.24,2.05,1.86,2.29,1.86,0.78
DDB_G0294074,12.26,97.23,122.41,56.29,61.52,49.33,39.56
DDB_G0291440,0.47,2.47,4.64,6.58,3.62,1.92,0.61
DDB_G0279547,0.1,0.46,0.95,0.93,1.39,1.06,1.31
DDB_G0275269,2.31,6.31,22.48,22.8,28.78,24.89,9.55
DDB_G0270558,0.13,0.85,1.28,0.96,0.95,0.6,0.46
DDB_G0280367,0.8,0.81,7.55,15.06,36.79,29.01,22.79
